stock,date,senti_raise,senti_drop,senti_inconclusive,year,month,day,open,high,low,close,adj_close,volume
AMZN,2023-06-19,0,0,3,2023,06,19,,,,,,
AMZN,2023-04-06,0,0,1,2023,04,06,100.750000,102.379997,99.800003,102.059998,102.059998,43808000
AMZN,2023-05-19,0,1,1,2023,05,19,118.160004,118.309998,115.699997,116.250000,116.250000,54990200
AMZN,2023-11-25,0,0,3,2023,11,25,146.699997,147.199997,145.320007,146.740005,146.740005,22378400
AMZN,2023-10-22,0,0,1,2023,10,22,128.050003,128.169998,124.970001,125.169998,125.169998,56343300
AMZN,2023-08-11,0,0,2,2023,08,11,137.399994,139.330002,137.000000,138.410004,138.410004,42832100
AMZN,2023-03-06,0,0,3,2023,03,06,95.190002,96.550003,93.739998,93.750000,93.750000,52112400
AMZN,2023-09-19,0,0,2,2023,09,19,138.699997,138.839996,135.559998,137.630005,137.630005,61482500
AMZN,2023-08-23,0,0,3,2023,08,23,134.500000,135.949997,133.220001,135.520004,135.520004,42801000
AMZN,2023-05-09,0,0,2,2023,05,09,105.480003,106.790001,105.160004,106.620003,106.620003,44089400
AMZN,2023-11-26,0,0,5,2023,11,26,146.699997,147.199997,145.320007,146.740005,146.740005,22378400
AMZN,2023-11-19,0,0,3,2023,11,19,142.660004,145.229996,142.539993,145.179993,145.179993,49636700
AMZN,2023-08-25,1,0,1,2023,08,25,132.470001,133.869995,130.580002,133.259995,133.259995,44147500
AMZN,2023-08-18,0,0,1,2023,08,18,131.619995,134.070007,131.149994,133.220001,133.220001,48469400
AMZN,2023-04-03,0,0,4,2023,04,03,102.300003,103.290001,101.430000,102.410004,102.410004,41135700
AMZN,2023-02-23,0,0,4,2023,02,23,,,,,,
AMZN,2023-09-04,0,0,2,2023,09,04,,,,,,
AMZN,2023-04-22,0,0,2,2023,04,22,106.099998,108.150002,105.080002,106.959999,106.959999,86774200
AMZN,2023-11-05,0,0,2,2023,11,05,138.990005,139.490005,137.449997,138.600006,138.600006,44007200
AMZN,2023-06-03,0,1,3,2023,06,03,124.919998,126.389999,124.019997,124.250000,124.250000,61215000
AMZN,2023-11-08,0,0,3,2023,11,08,142.970001,143.119995,141.220001,142.080002,142.080002,44521700
AMZN,2023-12-31,0,0,3,2023,12,31,153.100006,153.889999,151.029999,151.940002,151.940002,39789000
AMZN,2024-01-17,0,0,2,2024,01,17,151.490005,152.149994,149.910004,151.710007,151.710007,34953400
AMZN,2023-05-16,0,0,2,2023,05,16,111.050003,114.790001,111.050003,113.400002,113.400002,71472900
AMZN,2023-12-16,0,0,2,2023,12,16,148.380005,150.570007,147.880005,149.970001,149.970001,110039100
AMZN,2023-12-23,0,0,2,2023,12,23,153.770004,154.350006,152.710007,153.419998,153.419998,29480100
